City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cherskiy,68.75,161.3,48.7,76,100,3.67,RU,1596672432
Rikitea,-23.12,-134.97,70.54,75,67,9.48,PF,1596672436
Yarensk,62.17,49.09,59.41,87,96,6.69,RU,1596672820
Punta Arenas,-53.15,-70.92,37.4,74,100,23.04,CL,1596672450
Flinders,-34.58,150.86,50.0,46,0,10.29,AU,1596672577
Vaini,-21.2,-175.2,75.2,64,20,6.93,TO,1596672820
La Ronge,55.1,-105.28,82.4,34,20,11.41,CA,1596672821
Dikson,73.51,80.55,46.38,94,40,19.33,RU,1596672821
Patharia,23.9,79.2,79.41,83,99,5.39,IN,1596672821
Batemans Bay,-35.72,150.18,55.0,55,0,1.01,AU,1596672822
Jamestown,42.1,-79.24,64.99,72,20,8.05,US,1596672822
Zlobin,45.29,14.65,70.0,64,40,21.92,HR,1596672822
Castro,-24.79,-50.01,54.1,83,0,2.48,BR,1596672822
Severo-Kuril'sk,50.68,156.12,52.7,86,100,12.88,RU,1596672823
Ushuaia,-54.8,-68.3,37.4,88,75,16.11,AR,1596672195
Csabrendek,47.01,17.29,68.0,93,97,4.7,HU,1596672823
Iqaluit,63.75,-68.51,57.2,87,90,9.17,CA,1596672558
Salamanca,40.83,-6.0,73.99,43,0,4.18,ES,1596672823
Bambous Virieux,-20.34,57.76,66.2,72,75,9.17,MU,1596672485
Nikolskoye,59.7,30.79,59.0,67,95,4.5,RU,1596672480
Iturama,-19.73,-50.2,68.74,36,0,6.67,BR,1596672824
Qaanaaq,77.48,-69.36,35.13,77,16,2.33,GL,1596672824
Barvinkove,48.91,37.02,63.91,74,0,7.96,UA,1596672825
Constitución,-35.33,-72.42,49.39,69,27,9.6,CL,1596672825
Tiksi,71.69,128.87,60.24,60,99,13.73,RU,1596672476
Kudahuvadhoo,2.67,72.89,82.11,79,100,12.41,MV,1596672825
Khatanga,71.97,102.5,60.62,71,38,11.99,RU,1596672209
Vágur,61.47,-6.81,51.89,89,27,18.34,FO,1596672546
East London,-33.02,27.91,59.02,83,99,12.55,ZA,1596672434
Avarua,-21.21,-159.78,77.0,88,3,13.87,CK,1596672456
Albany,42.6,-73.97,75.0,60,1,6.38,US,1596672206
Hermanus,-34.42,19.23,37.99,95,36,3.6,ZA,1596672209
Fairbanks,64.84,-147.72,73.0,43,1,3.36,US,1596672827
Mataura,-46.19,168.86,46.99,88,100,1.01,NZ,1596672433
Hisuā,24.83,85.42,80.98,83,77,15.14,IN,1596672828
Hobyo,5.35,48.53,76.62,77,40,23.64,SO,1596672828
Saskylakh,71.92,114.08,64.94,69,87,11.59,RU,1596672459
Katherine,-14.47,132.27,75.2,69,44,9.17,AU,1596672829
Aykhal,66.0,111.5,68.0,37,5,4.47,RU,1596672829
Manggar,-2.88,108.27,81.09,81,98,8.41,ID,1596672830
Cayenne,4.93,-52.33,77.0,100,20,2.24,GF,1596672477
Asău,46.43,26.4,62.6,82,0,2.24,RO,1596672830
Tautira,-17.73,-149.15,82.4,69,75,13.87,PF,1596672830
Lata,40.16,-8.33,66.99,63,0,2.66,PT,1596672831
Saint-Philippe,-21.36,55.77,62.6,63,75,6.93,RE,1596672434
Rocha,-34.48,-54.33,66.11,80,2,10.71,UY,1596672631
Longyearbyen,78.22,15.64,53.6,76,75,5.82,SJ,1596672504
Arkhangelsk,64.54,40.54,57.2,100,75,4.47,RU,1596672832
Santa Isabel Rio Negro,-0.41,-65.02,74.68,93,55,1.68,BR,1596672665
Hithadhoo,-0.6,73.08,82.74,69,100,11.54,MV,1596672479
Clarence Town,-32.58,151.78,54.0,57,20,19.46,AU,1596672832
Puerto Ayora,-0.74,-90.35,66.99,95,87,4.0,EC,1596672467
Mbuji-Mayi,-6.15,23.6,72.72,52,6,1.23,CD,1596672833
Tevaitoa,-16.78,-151.5,79.25,79,39,13.91,PF,1596672504
La Santisima Trinidad,-14.83,-64.9,78.17,39,0,3.09,BO,1596672833
Bredasdorp,-34.53,20.04,44.6,87,43,3.36,ZA,1596672452
Busselton,-33.65,115.33,45.0,86,0,8.23,AU,1596672200
Muroto-misakicho,33.28,134.15,84.2,70,20,3.36,JP,1596672835
Oranjestad,12.52,-70.03,84.2,74,20,21.92,AW,1596672686
Gramsh,40.87,20.18,67.48,71,2,5.03,AL,1596672836
Santa Rosa,14.31,121.11,84.0,83,77,10.6,PH,1596672508
Bilma,18.69,12.92,94.62,28,3,6.26,NE,1596672481
Airai,-8.93,125.41,63.97,79,13,1.54,TL,1596672498
Trairi,-3.28,-39.27,77.85,77,35,11.79,BR,1596672512
Zhigansk,66.77,123.37,70.56,45,38,0.45,RU,1596672251
São João da Barra,-21.64,-41.05,68.74,74,32,9.08,BR,1596672838
Bengkulu,-3.8,102.27,76.68,80,94,3.2,ID,1596672440
Westport,41.14,-73.36,80.01,49,0,1.01,US,1596672723
Guerrero Negro,27.98,-114.06,74.89,63,3,17.07,MX,1596672505
Mar del Plata,-38.0,-57.56,59.0,87,93,4.7,AR,1596672282
Assiniboia,49.63,-105.98,82.8,24,0,2.55,CA,1596672839
Hong Kong,22.29,114.16,82.0,88,99,8.01,HK,1596672430
Staryy Nadym,65.61,72.68,59.14,65,44,4.72,RU,1596672839
Tasiilaq,65.61,-37.64,44.6,81,100,5.82,GL,1596672840
Port Alfred,-33.59,26.89,56.82,90,100,10.78,ZA,1596672447
Yellowknife,62.46,-114.35,66.2,68,40,16.11,CA,1596672468
George Town,5.41,100.34,82.4,88,20,1.12,MY,1596672535
